id,domain,difficulty,vignette,question,gold_standard_answer,guideline_reference
Q011,D4_Subsequent_Resistance,Medium,"A 60-year-old female with stage IV ALK-rearranged lung adenocarcinoma has been on first-line alectinib for 18 months. Restaging CT shows new bilateral pulmonary nodules and enlargement of a mediastinal lymph node. Brain MRI is negative. ECOG PS 1.",What is the recommended approach upon progression on first-line alectinib?,"Upon progression on alectinib, management depends on the pattern of progression: (1) Re-biopsy (tissue or liquid) for ALK resistance mutation profiling is recommended to guide next-line ALK TKI selection. (2) Common alectinib resistance mutations include ALK G1202R (most frequent, ~30%), which is sensitive to lorlatinib. (3) Recommended subsequent ALK TKI: lorlatinib (preferred, based on CROWN data and activity against G1202R and other compound mutations). (4) If no ALK resistance mutation is identified, lorlatinib remains the recommended next-line option given its broad resistance mutation coverage and CNS penetration. (5) Platinum-based chemotherapy ± immunotherapy is reserved for post-TKI progression.",NCCN NSCLC v3.2025 ALK-2; NSCL-22
Q012,D4_Subsequent_Resistance,Hard,"A 56-year-old male with EGFR L858R-mutant stage IV NSCLC progressed on osimertinib after 16 months. Re-biopsy shows small cell transformation with retained EGFR L858R. The patient is symptomatic with rapidly growing liver metastases. ECOG PS 2.",How should this patient be managed given the histologic transformation?,"SCLC transformation occurs in ~5–10% of EGFR-mutant NSCLC upon osimertinib resistance. Management: (1) Treat as SCLC: platinum-etoposide chemotherapy (carboplatin + etoposide) is the standard approach, as the transformed tumor follows SCLC biology. (2) Discontinue osimertinib, as the driver of growth is now the SCLC phenotype. However, some experts advocate continuing osimertinib alongside chemotherapy to maintain pressure on any residual adenocarcinoma component—this remains center-specific and not yet standardized. (3) Consider addition of atezolizumab or durvalumab per ES-SCLC paradigm, though evidence in transformed SCLC is limited. (4) Prognosis is generally poor; close monitoring and early palliative care integration are essential. (5) Re-biopsy at subsequent progression is important as re-transformation back to adenocarcinoma has been reported.",NCCN NSCLC v3.2025 NSCL-22; Expert consensus
Q013,D4_Subsequent_Resistance,Medium,"A 65-year-old female with stage IV NSCLC (no driver mutations, PD-L1 TPS 10%) previously treated with carboplatin/pemetrexed/pembrolizumab (4 cycles) followed by pembrolizumab + pemetrexed maintenance. She progresses after 8 months on maintenance. ECOG PS 1.",What are the recommended second-line options?,"Second-line options following platinum/pemetrexed/pembrolizumab include: (1) Docetaxel ± ramucirumab (REVEL trial data; ramucirumab addition improves OS modestly); (2) Docetaxel alone; (3) If not previously tested, re-evaluate for actionable molecular targets (KRAS G12C → sotorasib/adagrasib; HER2 → trastuzumab deruxtecan). Rechallenge with immunotherapy is generally not recommended given recent IO exposure. Enrollment in clinical trials should be considered. Gemcitabine or vinorelbine are alternative options for patients who cannot tolerate docetaxel.",NCCN NSCLC v3.2025 NSCL-20; NSCL-H
Q014,D5_Adverse_Events,Easy,"A 58-year-old male receiving pembrolizumab for stage IV NSCLC develops new-onset diarrhea (6 episodes/day) with abdominal cramping and low-grade fever after 4 cycles. No blood in stool. Labs show mildly elevated CRP.",How should this suspected immune-related colitis be managed?,"This presentation is consistent with Grade 2 immune-related colitis (4–6 stools/day above baseline). Management: (1) Hold pembrolizumab; (2) Initiate oral prednisone 1–2 mg/kg/day; (3) Obtain stool studies (C. difficile, culture, ova and parasites) to rule out infectious etiology; (4) If symptoms do not improve within 3 days, consider IV methylprednisolone and gastroenterology consultation with colonoscopy; (5) Once improved to Grade ≤1, taper steroids over ≥4 weeks; (6) Pembrolizumab may be resumed after resolution to Grade ≤1 and steroid taper to ≤10mg prednisone equivalent. If Grade 3–4 colitis develops, pembrolizumab should be permanently discontinued and infliximab considered for steroid-refractory cases.",NCCN Management of Immunotherapy-Related Toxicities v1.2025
Q015,D5_Adverse_Events,Hard,"A 64-year-old female on nivolumab + ipilimumab for stage IV NSCLC develops progressive dyspnea, dry cough, and hypoxemia (SpO2 88% on room air) after cycle 3. CT chest shows bilateral ground-glass opacities. She is afebrile. NT-proBNP is normal. Blood cultures are pending.",How should this patient be managed for suspected immune-related pneumonitis?,"This is Grade 3 immune-related pneumonitis (symptomatic, limiting self-care ADL, requiring supplemental O2). Management: (1) Permanently discontinue both nivolumab and ipilimumab; (2) Admit and initiate IV methylprednisolone 2–4 mg/kg/day; (3) Empiric broad-spectrum antibiotics until infection is excluded (BAL if feasible); (4) Urgent pulmonology consultation; (5) If no improvement in 48–72 hours, consider infliximab (if infection ruled out) or mycophenolate mofetil as steroid-refractory management; (6) Supplemental oxygen, monitor for respiratory deterioration; (7) Once improved, slow steroid taper over ≥6–8 weeks; (8) Given dual IO regimen and Grade 3 pneumonitis, rechallenge with immunotherapy is NOT recommended. Transition to chemotherapy or best supportive care upon recovery.",NCCN Management of Immunotherapy-Related Toxicities v1.2025; ASCO Guidelines
Q016,D5_Adverse_Events,Medium,"A 60-year-old male on osimertinib for EGFR-mutant NSCLC develops progressive periorbital edema, fatigue, weight gain, and constipation after 6 months of treatment. TSH is elevated at 15 mIU/L (normal: 0.4–4.0), free T4 is low at 0.5 ng/dL (normal: 0.8–1.8).",What is the likely cause and management?,"While osimertinib is not commonly associated with thyroid dysfunction, hypothyroidism can occur with any systemic therapy. However, the clinical picture is classic for hypothyroidism. Management: (1) Start levothyroxine replacement therapy (starting dose 25–50 mcg daily in this age group, titrate based on TSH); (2) Osimertinib can generally be continued as hypothyroidism is manageable with replacement; (3) Recheck TSH in 6–8 weeks; (4) Monitor for other endocrinopathies if the patient had prior immunotherapy. Note: If this patient had prior checkpoint inhibitor exposure, this may represent delayed immune-related thyroiditis. Continue osimertinib without dose modification.",NCCN NSCLC v3.2025; Drug-specific prescribing information
Q017,D6_Follow_Up,Easy,"A 60-year-old female underwent right upper lobectomy with mediastinal lymph node dissection for stage IB (T2aN0M0) lung adenocarcinoma 3 months ago. Surgical margins were negative. She completed 4 cycles of adjuvant cisplatin/vinorelbine. EGFR testing was negative.",What is the recommended surveillance schedule for this patient?,"Post-resection surveillance for stage IB NSCLC: (1) History, physical exam, and chest CT (with contrast) every 6 months for the first 2–3 years, then annually; (2) Annual low-dose chest CT after 5 years (ongoing lung cancer screening given surgical history); (3) No routine PET-CT for surveillance; (4) Brain MRI only if new neurological symptoms; (5) Smoking cessation counseling and support if applicable; (6) Consider annual influenza and pneumococcal vaccination; (7) Monitor for second primary cancers. The highest risk of recurrence is in the first 2 years.",NCCN NSCLC v3.2025 NSCL-15
Q018,D6_Follow_Up,Medium,"A 55-year-old male completed concurrent chemoradiation (cisplatin/etoposide + 60Gy) followed by durvalumab consolidation for stage IIIA unresectable NSCLC. He has completed 12 months of durvalumab. Restaging shows no evidence of disease.",What are the next steps after completing durvalumab consolidation?,"After completing 12 months of durvalumab consolidation (per PACIFIC trial): (1) Transition to surveillance: CT chest with contrast every 3–6 months for the first 2 years, then every 6 months for years 3–5, then annually; (2) Brain MRI every 3–6 months for the first 2 years (high risk for brain metastases in stage III NSCLC); (3) Monitor for late immune-related adverse events (endocrinopathies, pneumonitis) which can manifest months after IO completion; (4) Assess and manage radiation-related toxicities (radiation pneumonitis, esophagitis); (5) Do NOT continue durvalumab beyond 12 months per PACIFIC protocol; (6) Pulmonary function monitoring given combined chemoradiation. There is no established role for maintenance therapy beyond durvalumab.",NCCN NSCLC v3.2025 NSCL-10; PACIFIC trial protocol
Q019,D6_Follow_Up,Hard,"A 45-year-old female with stage IV ALK-rearranged NSCLC has been on lorlatinib for 24 months with complete response. She inquires about the possibility of stopping treatment and about fertility preservation given her age.",How should treatment continuation and fertility concerns be addressed?,"(1) Treatment discontinuation is NOT recommended. For stage IV NSCLC with driver mutations, indefinite TKI therapy is the standard of care as discontinuation almost universally leads to disease recurrence, even in cases of complete response. There are no established criteria for safely stopping ALK TKIs. (2) Fertility: Lorlatinib is potentially teratogenic; effective contraception is mandatory during treatment and for at least 6 months after discontinuation (female) or 3 months (male partners). Fertility preservation options should be discussed with reproductive endocrinology, though the practicality is limited given indefinite treatment duration. (3) Psychosocial support and counseling about living with chronic cancer management should be integrated. (4) Monitoring: Continue regular imaging surveillance (CT every 8–12 weeks, brain MRI every 6–12 months) even with complete response.",NCCN NSCLC v3.2025 ALK-2; Lorlatinib prescribing information; ASCO fertility preservation guidelines
Q020,D3_First_Line,Hard,"A 75-year-old male with stage IV lung adenocarcinoma, ECOG PS 2, multiple comorbidities (COPD, diabetes, CKD stage 3). Molecular testing: no driver mutations. PD-L1 TPS 55%. He lives in a rural area with limited access to infusion centers.",What treatment considerations apply to this frail patient?,"This is a complex geriatric oncology scenario. Options: (1) Pembrolizumab monotherapy (preferred for PD-L1 ≥50%): avoids chemotherapy toxicity, given every 6 weeks (400mg Q6W schedule) to reduce infusion visits—particularly relevant for rural access issues; (2) Single-agent chemotherapy (carboplatin + pemetrexed or carboplatin + nab-paclitaxel at reduced doses) if immunotherapy is contraindicated; (3) Combination chemo-IO carries higher toxicity risk in PS 2 patients and should be used cautiously; (4) Best supportive care should be discussed given PS 2 and comorbidities. Key considerations: renal dosing for carboplatin (CKD stage 3), COPD increases pneumonitis risk with IO, diabetes management with corticosteroids. A comprehensive geriatric assessment is recommended before treatment initiation. Goals of care discussion is essential.",NCCN NSCLC v3.2025 NSCL-17; NCCN Older Adult Oncology
