id,domain,difficulty,vignette,question,gold_standard_answer,guideline_reference
Q011,D4_Subsequent_Resistance,Medium,"A 60-year-old female with stage IV ALK-rearranged lung adenocarcinoma has been on first-line alectinib for 18 months. Restaging CT shows new bilateral pulmonary nodules and enlargement of a mediastinal lymph node. Brain MRI is negative. ECOG PS 1.",What is the recommended approach upon progression on first-line alectinib?,"Upon progression on alectinib, management depends on the pattern of progression: (1) Re-biopsy (tissue or liquid) for ALK resistance mutation profiling is recommended to guide next-line ALK TKI selection. (2) Common alectinib resistance mutations include ALK G1202R (most frequent, ~30%), which is sensitive to lorlatinib. (3) Recommended subsequent ALK TKI: lorlatinib (preferred, based on CROWN data and activity against G1202R and other compound mutations). (4) If no ALK resistance mutation is identified, lorlatinib remains the recommended next-line option given its broad resistance mutation coverage and CNS penetration. (5) Platinum-based chemotherapy ± immunotherapy is reserved for post-TKI progression.",NCCN NSCLC v3.2025 ALK-2; NSCL-22
Q012,D4_Subsequent_Resistance,Hard,"A 56-year-old male with EGFR L858R-mutant stage IV NSCLC progressed on osimertinib after 16 months. Re-biopsy shows small cell transformation with retained EGFR L858R. The patient is symptomatic with rapidly growing liver metastases. ECOG PS 2.",How should this patient be managed given the histologic transformation?,"SCLC transformation occurs in ~5–10% of EGFR-mutant NSCLC upon osimertinib resistance. Management: (1) Treat as SCLC: platinum-etoposide chemotherapy (carboplatin + etoposide) is the standard approach, as the transformed tumor follows SCLC biology. (2) Discontinue osimertinib, as the driver of growth is now the SCLC phenotype. However, some experts advocate continuing osimertinib alongside chemotherapy to maintain pressure on any residual adenocarcinoma component—this remains center-specific and not yet standardized. (3) Consider addition of atezolizumab or durvalumab per ES-SCLC paradigm, though evidence in transformed SCLC is limited. (4) Prognosis is generally poor; close monitoring and early palliative care integration are essential. (5) Re-biopsy at subsequent progression is important as re-transformation back to adenocarcinoma has been reported.",NCCN NSCLC v3.2025 NSCL-22; Expert consensus
Q013,D4_Subsequent_Resistance,Medium,"A 65-year-old female with stage IV NSCLC (no driver mutations, PD-L1 TPS 10%) previously treated with carboplatin/pemetrexed/pembrolizumab (4 cycles) followed by pembrolizumab + pemetrexed maintenance. She progresses after 8 months on maintenance. ECOG PS 1.",What are the recommended second-line options?,"Second-line options following platinum/pemetrexed/pembrolizumab include: (1) Docetaxel ± ramucirumab (REVEL trial data; ramucirumab addition improves OS modestly); (2) Docetaxel alone; (3) If not previously tested, re-evaluate for actionable molecular targets (KRAS G12C → sotorasib/adagrasib; HER2 → trastuzumab deruxtecan). Rechallenge with immunotherapy is generally not recommended given recent IO exposure. Enrollment in clinical trials should be considered. Gemcitabine or vinorelbine are alternative options for patients who cannot tolerate docetaxel.",NCCN NSCLC v3.2025 NSCL-20; NSCL-H
Q014,D5_Adverse_Events,Easy,"A 58-year-old male receiving pembrolizumab for stage IV NSCLC develops new-onset diarrhea (6 episodes/day) with abdominal cramping and low-grade fever after 4 cycles. No blood in stool. Labs show mildly elevated CRP.",How should this suspected immune-related colitis be managed?,"This presentation is consistent with Grade 2 immune-related colitis (4–6 stools/day above baseline). Management: (1) Hold pembrolizumab; (2) Initiate oral prednisone 1–2 mg/kg/day; (3) Obtain stool studies (C. difficile, culture, ova and parasites) to rule out infectious etiology; (4) If symptoms do not improve within 3 days, consider IV methylprednisolone and gastroenterology consultation with colonoscopy; (5) Once improved to Grade ≤1, taper steroids over ≥4 weeks; (6) Pembrolizumab may be resumed after resolution to Grade ≤1 and steroid taper to ≤10mg prednisone equivalent. If Grade 3–4 colitis develops, pembrolizumab should be permanently discontinued and infliximab considered for steroid-refractory cases.",NCCN Management of Immunotherapy-Related Toxicities v1.2025
Q015,D5_Adverse_Events,Hard,"A 64-year-old female on nivolumab + ipilimumab for stage IV NSCLC develops progressive dyspnea, dry cough, and hypoxemia (SpO2 88% on room air) after cycle 3. CT chest shows bilateral ground-glass opacities. She is afebrile. NT-proBNP is normal. Blood cultures are pending.",How should this patient be managed for suspected immune-related pneumonitis?,"This is Grade 3 immune-related pneumonitis (symptomatic, limiting self-care ADL, requiring supplemental O2). Management: (1) Permanently discontinue both nivolumab and ipilimumab; (2) Admit and initiate IV methylprednisolone 2–4 mg/kg/day; (3) Empiric broad-spectrum antibiotics until infection is excluded (BAL if feasible); (4) Urgent pulmonology consultation; (5) If no improvement in 48–72 hours, consider infliximab (if infection ruled out) or mycophenolate mofetil as steroid-refractory management; (6) Supplemental oxygen, monitor for respiratory deterioration; (7) Once improved, slow steroid taper over ≥6–8 weeks; (8) Given dual IO regimen and Grade 3 pneumonitis, rechallenge with immunotherapy is NOT recommended. Transition to chemotherapy or best supportive care upon recovery.",NCCN Management of Immunotherapy-Related Toxicities v1.2025; ASCO Guidelines
Q016,D5_Adverse_Events,Medium,"A 60-year-old male on osimertinib for EGFR-mutant NSCLC develops progressive periorbital edema, fatigue, weight gain, and constipation after 6 months of treatment. TSH is elevated at 15 mIU/L (normal: 0.4–4.0), free T4 is low at 0.5 ng/dL (normal: 0.8–1.8).",What is the likely cause and management?,"While osimertinib is not commonly associated with thyroid dysfunction, hypothyroidism can occur with any systemic therapy. However, the clinical picture is classic for hypothyroidism. Management: (1) Start levothyroxine replacement therapy (starting dose 25–50 mcg daily in this age group, titrate based on TSH); (2) Osimertinib can generally be continued as hypothyroidism is manageable with replacement; (3) Recheck TSH in 6–8 weeks; (4) Monitor for other endocrinopathies if the patient had prior immunotherapy. Note: If this patient had prior checkpoint inhibitor exposure, this may represent delayed immune-related thyroiditis. Continue osimertinib without dose modification.",NCCN NSCLC v3.2025; Drug-specific prescribing information
Q017,D6_Follow_Up,Easy,"A 60-year-old female underwent right upper lobectomy with mediastinal lymph node dissection for stage IB (T2aN0M0) lung adenocarcinoma 3 months ago. Surgical margins were negative. She completed 4 cycles of adjuvant cisplatin/vinorelbine. EGFR testing was negative.",What is the recommended surveillance schedule for this patient?,"Post-resection surveillance for stage IB NSCLC: (1) History, physical exam, and chest CT (with contrast) every 6 months for the first 2–3 years, then annually; (2) Annual low-dose chest CT after 5 years (ongoing lung cancer screening given surgical history); (3) No routine PET-CT for surveillance; (4) Brain MRI only if new neurological symptoms; (5) Smoking cessation counseling and support if applicable; (6) Consider annual influenza and pneumococcal vaccination; (7) Monitor for second primary cancers. The highest risk of recurrence is in the first 2 years.",NCCN NSCLC v3.2025 NSCL-15
Q018,D6_Follow_Up,Medium,"A 55-year-old male completed concurrent chemoradiation (cisplatin/etoposide + 60Gy) followed by durvalumab consolidation for stage IIIA unresectable NSCLC. He has completed 12 months of durvalumab. Restaging shows no evidence of disease.",What are the next steps after completing durvalumab consolidation?,"After completing 12 months of durvalumab consolidation (per PACIFIC trial): (1) Transition to surveillance: CT chest with contrast every 3–6 months for the first 2 years, then every 6 months for years 3–5, then annually; (2) Brain MRI every 3–6 months for the first 2 years (high risk for brain metastases in stage III NSCLC); (3) Monitor for late immune-related adverse events (endocrinopathies, pneumonitis) which can manifest months after IO completion; (4) Assess and manage radiation-related toxicities (radiation pneumonitis, esophagitis); (5) Do NOT continue durvalumab beyond 12 months per PACIFIC protocol; (6) Pulmonary function monitoring given combined chemoradiation. There is no established role for maintenance therapy beyond durvalumab.",NCCN NSCLC v3.2025 NSCL-10; PACIFIC trial protocol
Q019,D6_Follow_Up,Hard,"A 45-year-old female with stage IV ALK-rearranged NSCLC has been on lorlatinib for 24 months with complete response. She inquires about the possibility of stopping treatment and about fertility preservation given her age.",How should treatment continuation and fertility concerns be addressed?,"(1) Treatment discontinuation is NOT recommended. For stage IV NSCLC with driver mutations, indefinite TKI therapy is the standard of care as discontinuation almost universally leads to disease recurrence, even in cases of complete response. There are no established criteria for safely stopping ALK TKIs. (2) Fertility: Lorlatinib is potentially teratogenic; effective contraception is mandatory during treatment and for at least 6 months after discontinuation (female) or 3 months (male partners). Fertility preservation options should be discussed with reproductive endocrinology, though the practicality is limited given indefinite treatment duration. (3) Psychosocial support and counseling about living with chronic cancer management should be integrated. (4) Monitoring: Continue regular imaging surveillance (CT every 8–12 weeks, brain MRI every 6–12 months) even with complete response.",NCCN NSCLC v3.2025 ALK-2; Lorlatinib prescribing information; ASCO fertility preservation guidelines
Q020,D3_First_Line,Hard,"A 75-year-old male with stage IV lung adenocarcinoma, ECOG PS 2, multiple comorbidities (COPD, diabetes, CKD stage 3). Molecular testing: no driver mutations. PD-L1 TPS 55%. He lives in a rural area with limited access to infusion centers.",What treatment considerations apply to this frail patient?,"This is a complex geriatric oncology scenario. Options: (1) Pembrolizumab monotherapy (preferred for PD-L1 ≥50%): avoids chemotherapy toxicity, given every 6 weeks (400mg Q6W schedule) to reduce infusion visits—particularly relevant for rural access issues; (2) Single-agent chemotherapy (carboplatin + pemetrexed or carboplatin + nab-paclitaxel at reduced doses) if immunotherapy is contraindicated; (3) Combination chemo-IO carries higher toxicity risk in PS 2 patients and should be used cautiously; (4) Best supportive care should be discussed given PS 2 and comorbidities. Key considerations: renal dosing for carboplatin (CKD stage 3), COPD increases pneumonitis risk with IO, diabetes management with corticosteroids. A comprehensive geriatric assessment is recommended before treatment initiation. Goals of care discussion is essential.",NCCN NSCLC v3.2025 NSCL-17; NCCN Older Adult Oncology
Q021,D1_Diagnosis_Screening,Easy,"A 52-year-old female, former smoker (25 pack-years, quit 8 years ago), presents for annual physical. No symptoms. BMI 28. No personal or family history of cancer.",Does this patient qualify for LDCT lung cancer screening?,"Yes. She meets NCCN criteria: age 50–80, ≥20 pack-year history, quit within the past 15 years. Annual LDCT is recommended. She should receive shared decision-making counseling about benefits and risks of screening.",NCCN Lung Cancer Screening v2.2025
Q022,D1_Diagnosis_Screening,Easy,"A 70-year-old male, never-smoker, with no occupational exposures. His brother was diagnosed with lung cancer at age 68. He asks about lung cancer screening.",Should this patient undergo LDCT screening?,"No. Current NCCN/USPSTF criteria require ≥20 pack-year smoking history. Family history alone does not qualify for LDCT screening under standard guidelines. However, the patient should be counseled that family history is a risk factor, and clinical judgment may apply. Some institutions offer screening in high-risk never-smokers under institutional protocols, but this is not standard of care.",NCCN Lung Cancer Screening v2.2025; USPSTF 2021
Q023,D1_Diagnosis_Screening,Medium,"A 60-year-old male undergoes LDCT screening. A 6mm solid non-calcified nodule is found in the right lower lobe. No prior imaging. He is a current smoker with 35 pack-years.",What is the appropriate follow-up for this screen-detected nodule?,"For a solid non-calcified nodule 6–8mm detected on LDCT screening, Lung-RADS category 3 applies: short-term follow-up CT at 6 months is recommended. If stable at 6 months, annual LDCT screening resumes. If the nodule grows, further workup with PET-CT and/or biopsy is indicated. Smoking cessation counseling should be reinforced.",NCCN Lung Cancer Screening v2.2025; Lung-RADS v1.1
Q024,D1_Diagnosis_Screening,Medium,"A 58-year-old male presents with hemoptysis and weight loss. Chest X-ray shows a left hilar mass. CT confirms a 4cm left hilar mass with narrowing of the left main bronchus.",What is the next step in diagnostic workup?,"Given the central location and bronchial involvement: (1) Flexible bronchoscopy with biopsy (endobronchial biopsy, brushings, and lavage) is the preferred diagnostic approach for central lesions; (2) If bronchoscopy is non-diagnostic, CT-guided transthoracic needle biopsy or EBUS may be considered; (3) PET-CT for staging should be ordered concurrently; (4) Brain MRI and complete staging workup once tissue diagnosis is confirmed; (5) Pulmonary function tests given central airway involvement.",NCCN NSCLC v3.2025 NSCL-1
Q025,D1_Diagnosis_Screening,Medium,"A 65-year-old female with COPD undergoes CT for exacerbation evaluation. Incidentally, a 15mm solid nodule with irregular margins is found in the right upper lobe. She has a 40 pack-year smoking history.",How should this incidental finding be managed?,"This is a high-risk nodule (>8mm, irregular margins, heavy smoker). Management: (1) PET-CT is indicated given size >8mm and high pre-test probability; (2) If PET-avid, tissue diagnosis via CT-guided biopsy or bronchoscopy is recommended; (3) If PET is negative or equivocal, short-interval CT follow-up at 3 months; (4) Multidisciplinary discussion regarding surgical candidacy given underlying COPD; (5) Pulmonary function tests including DLCO to assess operative risk.",NCCN NSCLC v3.2025 NSCL-1; Fleischner Society 2017
Q026,D1_Diagnosis_Screening,Hard,"A 50-year-old female, never-smoker, presents with chronic cough. CT shows multiple bilateral ground-glass nodules (ranging 5–12mm) in both lungs. No dominant mass. No lymphadenopathy. She has no history of autoimmune disease.",What is the differential diagnosis and recommended workup?,"Multiple bilateral GGNs in a never-smoker have a broad differential: (1) Multifocal adenocarcinoma in situ (AIS) or minimally invasive adenocarcinoma (MIA)—most concerning; (2) Atypical adenomatous hyperplasia (AAH); (3) Infectious (fungal, viral, organizing pneumonia); (4) Inflammatory (hypersensitivity pneumonitis, COP). Workup: (1) Short-interval CT at 3 months to assess stability; (2) Detailed occupational and environmental exposure history; (3) If persistent, PET-CT (though sensitivity for GGNs is limited); (4) Consider BAL or transbronchial biopsy of the largest nodule; (5) If biopsy confirms AIS/MIA, surgical resection of dominant lesions with surveillance of remainder. MDT discussion is essential.",NCCN NSCLC v3.2025 NSCL-2; Expert consensus
Q027,D1_Diagnosis_Screening,Hard,"A 45-year-old male presents with a 3cm right upper lobe mass discovered on CT. PET shows intense FDG uptake (SUVmax 12). However, CT-guided biopsy returns benite: granulomatous inflammation consistent with sarcoidosis. He has no prior history of sarcoidosis.",How should this discordant finding be managed?,"Discordance between high PET avidity and benign biopsy warrants caution: (1) Do NOT assume benign—sampling error is possible. False-negative biopsy rate for lung masses is ~5–10%; (2) Repeat biopsy should be strongly considered, ideally using a different approach (bronchoscopy with EBUS if initial was CT-guided, or vice versa); (3) If repeat biopsy again shows granulomatous inflammation, consider surgical excision (wedge resection or segmentectomy) for definitive diagnosis; (4) Concurrent sarcoidosis and lung cancer can coexist; (5) Multidisciplinary discussion is essential before accepting a benign diagnosis for a highly PET-avid mass.",NCCN NSCLC v3.2025 NSCL-1; Expert consensus
Q028,D1_Diagnosis_Screening,Hard,"A 62-year-old female with a 2cm spiculated nodule in the left lower lobe undergoes PET-CT showing moderate FDG uptake (SUVmax 3.5) in the nodule and mildly avid bilateral hilar lymph nodes (SUVmax 2.5). She has a history of rheumatoid arthritis on methotrexate.",What are the considerations for interpreting these PET findings and the next steps?,"PET interpretation is complicated by her RA and methotrexate use: (1) Reactive/inflammatory lymphadenopathy is common in RA, leading to false-positive hilar uptake; (2) Methotrexate-associated lymphoproliferative disorder is a rare but possible consideration; (3) The spiculated nodule with SUVmax 3.5 remains suspicious for malignancy. Next steps: (1) Tissue diagnosis of the primary nodule is essential—CT-guided biopsy preferred; (2) EBUS-guided sampling of hilar lymph nodes to differentiate reactive vs. malignant; (3) Staging should not rely on PET alone in autoimmune patients; (4) Discuss methotrexate hold with rheumatology if biopsy confirms malignancy and surgery is planned.",NCCN NSCLC v3.2025 NSCL-1; NSCL-3
Q029,D1_Diagnosis_Screening,Easy,"A 57-year-old male undergoes LDCT screening and is found to have a 4mm solid nodule in the left lower lobe. No prior imaging. He has a 22 pack-year smoking history and continues to smoke.",What follow-up is recommended for this small nodule?,"For a solid nodule <6mm detected on LDCT screening, this is classified as Lung-RADS category 2 (benign appearance or behavior). Recommendation: continue annual LDCT screening. No short-interval follow-up CT is needed for nodules <6mm. Smoking cessation counseling remains essential.",NCCN Lung Cancer Screening v2.2025; Lung-RADS v1.1
Q030,D1_Diagnosis_Screening,Medium,"A 68-year-old male with a 3.5cm right upper lobe mass undergoes bronchoscopy. Cytology shows atypical cells suspicious but not diagnostic for malignancy. EBUS-TBNA of station 7 lymph node is negative.",What should be the next diagnostic step?,"Non-diagnostic bronchoscopy with a suspicious lesion requires further tissue: (1) CT-guided transthoracic needle biopsy (core biopsy preferred over FNA for better tissue architecture); (2) If CT-guided biopsy is also non-diagnostic or technically difficult, surgical biopsy (VATS wedge resection) should be considered for definitive diagnosis; (3) Repeat bronchoscopy with navigation bronchoscopy or robotic bronchoscopy may be considered if available; (4) Do not delay treatment based on non-diagnostic results in a clinically suspicious lesion. The negative station 7 node on EBUS does not exclude malignancy in the primary.",NCCN NSCLC v3.2025 NSCL-1
Q031,D2_Staging_Molecular,Easy,"A 60-year-old male is diagnosed with stage IV NSCLC (adenocarcinoma). His oncologist orders PD-L1 immunohistochemistry testing.",What PD-L1 scoring system is used for NSCLC and what are the clinically relevant cutoffs?,"PD-L1 is scored using Tumor Proportion Score (TPS) = percentage of viable tumor cells showing partial or complete membrane staining. Key cutoffs: (1) TPS ≥50%: eligible for pembrolizumab monotherapy first-line (KEYNOTE-024/042); (2) TPS ≥1%: eligible for pembrolizumab + chemotherapy combinations and some adjuvant/neoadjuvant settings; (3) TPS <1%: PD-L1 negative, combination chemo-IO still an option but monotherapy IO is not recommended. The Combined Positive Score (CPS) is primarily used in other tumor types, not routinely for NSCLC treatment decisions.",NCCN NSCLC v3.2025 NSCL-5A
Q032,D2_Staging_Molecular,Easy,"A 55-year-old female is diagnosed with NSCLC adenocarcinoma from a small core biopsy specimen. The pathology report shows limited tissue remaining after H&E and IHC.",What is the recommended approach for molecular testing with limited tissue?,"For limited tissue: (1) Prioritize NGS panel testing over sequential single-gene testing to maximize information from limited material; (2) If tissue is truly insufficient for NGS, liquid biopsy (ctDNA) using a validated plasma NGS panel is recommended as a complementary approach; (3) PD-L1 IHC should also be prioritized on available tissue; (4) Reflex testing (automatic ordering at time of diagnosis) reduces turnaround time; (5) If both tissue and liquid biopsy are insufficient, re-biopsy should be considered. Tissue remains the gold standard, with liquid biopsy as a complement, not a complete replacement.",NCCN NSCLC v3.2025 NSCL-5A
Q033,D2_Staging_Molecular,Medium,"A 64-year-old male with newly diagnosed NSCLC adenocarcinoma undergoes NGS testing. Results show EGFR exon 20 insertion mutation (p.A767_V769dup). PD-L1 TPS is 60%.",How does an EGFR exon 20 insertion differ from common EGFR mutations in terms of treatment implications?,"EGFR exon 20 insertions are distinct from classical EGFR mutations (exon 19 del, L858R): (1) They are generally resistant to first- through third-generation EGFR TKIs (erlotinib, gefitinib, afatinib, osimertinib); (2) Amivantamab (EGFR-MET bispecific antibody) + chemotherapy is an approved first-line option (PAPILLON trial); (3) Mobocertinib was previously approved but withdrawn from market; (4) Despite high PD-L1, immunotherapy monotherapy is not preferred for EGFR-mutant NSCLC including exon 20 insertions; (5) Platinum doublet + amivantamab is the preferred first-line approach per current guidelines.",NCCN NSCLC v3.2025 EGFR-3
Q034,D2_Staging_Molecular,Medium,"A 58-year-old never-smoker female with stage IV NSCLC undergoes liquid biopsy which is negative for all actionable mutations. Tissue biopsy showed adenocarcinoma but was insufficient for NGS.",Should the liquid biopsy result be trusted? What are the next steps?,"A negative liquid biopsy does NOT rule out actionable mutations: (1) ctDNA sensitivity depends on tumor burden, shedding, and assay—false-negative rate can be 20–30%; (2) Given never-smoker status (high pre-test probability for driver mutations), a tissue re-biopsy for adequate NGS is strongly recommended; (3) If re-biopsy is not feasible, consider starting empiric chemo-IO while awaiting further molecular workup; (4) A second liquid biopsy from a different platform may also be considered; (5) The clinical imperative is to identify actionable targets before committing to IO, as IO in driver-mutation-positive patients may be harmful.",NCCN NSCLC v3.2025 NSCL-5A
Q035,D2_Staging_Molecular,Hard,"A 66-year-old male with stage IV NSCLC adenocarcinoma undergoes comprehensive NGS revealing co-occurring EGFR L858R and MET amplification (copy number 8). PD-L1 TPS is 5%.",How should co-occurring EGFR and MET alterations at diagnosis be treated?,"De novo co-occurring EGFR L858R and MET amplification is uncommon but clinically significant: (1) EGFR TKI monotherapy may have reduced efficacy due to MET-mediated primary resistance; (2) Combination EGFR TKI + MET inhibitor (e.g., osimertinib + savolitinib or osimertinib + capmatinib) may be considered based on emerging data; (3) If combination is not accessible, osimertinib monotherapy remains a reasonable first-line option with close monitoring for early progression; (4) Clinical trial enrollment is strongly encouraged; (5) MET amplification with high copy number (≥6) is more clinically significant than low-level gains.",NCCN NSCLC v3.2025 EGFR-1; MET-1; Emerging data
